Pct Low Inc,Diesel Conc,"NPL Site Count, wt by dist",Pct pre1960 Housing
0,1.90930501,0.083305236,0
0.203667315,1.677157952,0.070111253,0.454691003
0.194099404,1.644291864,0.07270873,0.254677648
0.451015935,1.749637135,0.068252486,0.302802575
0.356860049,2.04722373,0.117185018,0.134739082
0.616495232,4.80226685,0.072348574,0.665595347
0.823570985,2.38255654,0.140044398,0.404996718
0,1.824159989,0.076309004,0
0.801945431,2.307795475,0.131042009,0.588000204
0.690214986,5.130933208,0.123813143,0.659524139
0.837444409,2.064038419,0.119856338,0.409836069
0.205787593,1.88622298,0.079601638,0.216129992
0.596169194,4.954249014,0.106758531,0.669077758
0.727877368,2.035033544,0.117592835,0.432498272
0.799781839,4.971436025,0.111139695,0.668787266
0.733333333,2.070143169,0.11583803,0.313253012
0.535763411,1.811860446,0.070263605,0.404063205
0.715892592,2.328836144,0.132146221,0.454734532
0.362093352,4.844089214,0.066714308,0.73830156
0.787356031,2.304884711,0.129389634,0.322394691
0.452545265,1.844184818,0.069599437,0.340552498
0.720860172,2.261885299,0.121607281,0.362295579
0.659195854,4.873381112,0.071577194,0.791143939
0.629722922,1.866151404,0.073735314,0.568119891
0.662415381,4.895257172,0.076039572,0.911202457
0.605604536,4.892726591,0.078121857,0.733314369
0.626216329,4.905915335,0.078158179,0.92124846
0.703035289,5.386286287,0.137735785,0.738425185
0.605793808,4.906994656,0.08045543,0.624150898
0.716234531,2.64307435,0.09730736,0.087772737
0.649310846,4.913406444,0.078064808,0.875080732
0.490265677,4.907392841,0.077234203,0.893067896
0.624910471,5.405537053,0.126018481,0.963527805
0.647333333,4.894538216,0.073935147,0.951530612
0.175940754,2.402341393,0.126469746,0.157349851
0.574822575,4.895137157,0.075155671,0.818552537
0.445325069,5.412192014,0.131800082,0.713050134
0.528347758,1.885654567,0.072911784,0.586362399
0.689482432,5.38125512,0.12774505,0.604437868
0.781377332,5.35672906,0.121418135,0.683714251
0.711959252,1.886774752,0.073043217,0.418230694
0.721569769,2.327382675,0.1179919,0.40106418
0.582671608,4.869952507,0.07017981,0.723550457
0.543247782,2.178782985,0.111887892,0.341492503
0.612235863,4.852537224,0.067182807,0.80383478
0.651868726,5.020504399,0.11046924,0.67419075
0.471433565,1.751071114,0.069982202,0.255520393
0.641840222,2.044185928,0.108497228,0.516076338
0.413123681,4.872263988,0.070866383,0.80718007
0.570588235,1.970901677,0.103459418,0.358280255
0.531114215,4.827365335,0.066459851,0.664669514
0.77399738,1.959605119,0.104805328,0.540862925
0.78614514,4.940446943,0.101815915,0.732743051
0.279034393,1.68404333,0.07322092,0.153198653
0.708617724,4.933155236,0.098009157,0.651061577
0.571461881,4.760546888,0.071362497,0.642130674
0.658285109,1.933837734,0.094879705,0.568935743
0.757584683,4.914334598,0.092772748,0.650640542
0.311246226,4.690955903,0.074319634,0.612048613
0.509138309,4.826023242,0.066787583,0.849521148
0.660299807,1.888937011,0.087872434,0.401986101
0.531524903,4.800082574,0.068444908,0.633928571
0.28117224,4.815917196,0.069412089,0.695932928
0.03,1.668498123,0.089642538,0.087301587
0.601678166,1.89626214,0.085409483,0.3004633
0.210999582,1.84104937,0.083031934,0.179032258
0.102925585,1.231191952,0.110926193,0.483305076
0.702794731,1.91647617,0.087433017,0.579376133
0.681283446,1.929264121,0.085536351,0.531161137
0.787277702,1.918744782,0.085542769,0.573308271
0.760755445,1.931281604,0.084952122,0.231988086
0.68825971,1.949913334,0.089165363,0.280665107
0.761129373,1.933737272,0.088672842,0.581615532
0.747412451,1.951729434,0.096121459,0.452509341
0.184857424,1.552861024,0.096058987,0.488687783
0.625983999,1.967212486,0.093942121,0.332722646
0.139181866,1.536723121,0.092929861,0.372312778
0.678194525,4.978497227,0.101294691,0.637526917
0.741278304,4.994604819,0.097368581,0.718989515
0.135263756,1.136659717,0.104757909,0.285255657
0.577021015,2.240690812,0.11066498,0.319393713
0.940316687,5.326531992,0.10695066,0.635327635
0.640022015,1.721012111,0.086502948,0.536245353
0.752907377,5.234706453,0.099849853,0.601925513
0.759362323,5.228867424,0.09736298,0.659400465
0.853687253,5.218507421,0.094999757,0.645763371
0.663546571,5.027330343,0.09420503,0.604357446
0.661686487,4.993926244,0.092174849,0.653243434
0.428064466,4.737945832,0.083073221,0.700242175
0.683395074,1.972830942,0.088735066,0.425471303
0.649402126,4.942698875,0.082950419,0.763376707
0.693549657,1.926252066,0.082714747,0.351483254
0.246478873,1.688531974,0.088370841,0.427466151
0.729400293,1.922017492,0.091501421,0.294535244
0.054885832,1.256936262,0.087172064,0.450124435
0.68655653,4.919171886,0.080381633,0.620224518
0.385654585,4.721103682,0.084085669,0.670131147
0.151185771,4.738689519,0.080166367,0.821100917
0.621473354,2.113436488,0.087866471,0.599009901
0.301943527,4.764958735,0.078519894,0.710291883
0.515955473,2.169305702,0.089946425,0.486080586
0.510204082,2.151797154,0.092191953,0.365758755
0.605660018,2.419898619,0.11473729,0.554222021
0.737478378,5.489564372,0.108043839,0.676052057
0.684913525,5.475149156,0.103139277,0.848792944
0.739143726,5.478281298,0.100008739,0.821054045
0.694333147,2.637766966,0.106678866,0.571195427
0.711367856,5.656314414,0.103391129,0.700463126
0.587103251,5.549846134,0.109547544,0.806369056
0.578297199,5.557068455,0.111762368,0.879617139
0.556669246,5.45426883,0.118667683,0.702644604
0.590549294,5.447525336,0.11611589,0.742722367
0.231654418,4.755205755,0.07475218,0.761224713
0.68798623,2.134362787,0.102096747,0.451806994
0.643178961,5.460379741,0.127089241,0.78460406
0.74191431,5.588262636,0.120768964,0.783205979
0.4957102,4.781547499,0.072287752,0.770642202
0.500343137,5.488263944,0.118051026,0.792654865
0.776763828,5.622598321,0.11189328,0.778057967
0.674565754,5.63186427,0.116519752,0.635285578
0.588668512,4.790795198,0.065941933,0.828856226
0.731225393,5.644035491,0.112071419,0.701376394
0.449569162,1.806101482,0.066240789,0.511732256
0.445385583,4.811331899,0.064071784,0.687792862
0.650571694,2.651389965,0.102307833,0.551426445
0.618232173,2.649525215,0.096082058,0.405179362
0.300047447,1.816314162,0.065813863,0.56222073
0.661258285,5.661781857,0.099460758,0.648842674
0.42952646,4.833343173,0.064131242,0.820548132
0.315019095,4.831581375,0.064228097,0.748045855
0.735927471,2.66261181,0.11065716,0.572050525
0.328901661,4.843052502,0.065647999,0.772753597
0.614906832,5.664685647,0.101090548,0.679266525
0.657437011,2.663546628,0.10519547,0.403944474
0.703709053,5.653341909,0.097057648,0.698145197
0.707279187,5.655141151,0.097145588,0.678770671
0.631055326,4.858649769,0.067974178,0.817496165
0.386564523,4.851986569,0.067015693,0.856586258
0.776437879,5.650445492,0.094069556,0.895482537
0.573113068,4.871467488,0.069890419,0.719869364
0.674225246,5.662133389,0.105628118,0.824945295
0.792057762,4.862602773,0.071903862,0.848
0.588157793,5.661535435,0.106975948,0.716843534
0.801251021,5.660740015,0.105333134,0.864278716
0.587576983,4.831716566,0.065068481,0.660436239
0.606621937,5.6607035,0.101738548,0.731332423
0.431324183,4.78522507,0.065227072,0.916131423
0.50677116,4.741757101,0.06384491,0.949647231
0.47651042,4.808473604,0.064840247,0.867240823
0.7104298,5.610443686,0.098519735,0.884205812
0.630354614,5.649348737,0.092685762,0.801884988
0.471197411,5.661354478,0.096867351,0.696540881
0.635722679,5.649878761,0.094778227,0.819536424
0.427533466,4.785146171,0.063393168,0.759534347
0.642441813,5.517903035,0.090660181,0.917869645
0.753382584,5.486147945,0.092470222,0.780113957
0.626778453,4.824131579,0.065756148,0.670571737
0.79136164,5.268372042,0.087904544,0.798264642
0.42242268,4.828282889,0.065320463,0.82462595
0.653265184,5.618452883,0.089653687,0.893609268
0.720830364,5.414292858,0.087829057,0.915182552
0.499855713,5.461094797,0.084320079,0.848383491
0.641241474,5.390853326,0.085022232,0.703764359
0.565885885,4.845913107,0.067384058,0.658855971
0.802675585,5.112011526,0.076260443,0.872159091
0.720889047,5.24417761,0.078153095,0.953479853
0.600106963,5.354748634,0.080776385,0.939880395
0.379667501,4.835423106,0.065265291,0.910712758
0.708258904,5.418434695,0.079906262,0.8591545
0.499983411,4.859624289,0.068989503,0.691623864
0.702698949,5.557993547,0.0854642,0.800763679
0.665994903,5.635341661,0.089659383,0.723005659
0.223523349,4.815202102,0.06288249,0.792354663
0.711002171,5.640489694,0.092112621,0.827886737
0.779337676,5.622858426,0.088794213,0.812102867
0.190026428,4.795320109,0.062966697,0.781113693
0.334209971,5.632337823,0.091018253,0.613239184
0.26133757,4.729433954,0.061289636,0.815523658
0.35355514,4.784446339,0.061085113,0.869929575
0.600483103,5.586810874,0.084278883,0.63937334
0.38371633,4.804122926,0.06183832,0.854602289
0.659356711,5.492187542,0.079722856,0.905538357
0.313038227,4.792229253,0.061376156,0.807814369
0.769199424,5.549457079,0.081544425,0.782046386
0.28319839,4.79987363,0.063246232,0.654427943
0.476778656,5.58205565,0.084450949,0.80729927
0.153344209,5.098024943,0.076673617,0.907681466
0.653376754,5.236429205,0.076887051,0.793799109
0.28825693,4.756559946,0.071461347,0.707726552
0.640929955,4.982055111,0.075198063,0.86169412
0.232599925,1.747308323,0.068166103,0.574451878
0.318407059,4.740345764,0.070298187,0.710344531
0.716690503,4.766305078,0.073044486,0.846799133
0.608094876,4.655111707,0.071262962,0.770046301
0.643082883,5.027847222,0.074378753,0.675046555
0.48028142,4.643776037,0.071388056,0.771243136
0.321749114,4.719482403,0.076067581,0.661369688
0.131799195,1.661116976,0.077784547,0.541816681
0,1.625388456,0.068622368,0.208333333
0.574299289,4.571991455,0.068399576,0.726460323
